CUSTOMER_ID;FULL_NAME;BIRTH_DATE;CITY;STATE;ZIPCODE
1001;Nowmer, Sheri;03/12/1960;Poughkeepsie;New York;21101
1002;Whelply, Derrick;06/04/1960;Manhattan;New York;12112
1003;Derry, Jeanne;12/19/1957;Long Island;New York;19090
1004;Spence, Michael;03/28/1970;Buffalo;New York;30093
1005;Gutierrez, Maya;10/28/1965;Yorktown;New York;29845
1006;Damstra, Robert;03/30/1963;Manhattan;New York;12118
1007;Kanagaki, Rebecca;06/01/1967;Ithaca;New York;27922
1008;Brunner, Kim;11/13/1956;Buffalo;New York;30097
1009;Blumberg, Brenda;11/27/1962;Yorktown;New York;29846
1010;Stanz, Darren;01/05/1953;Millbrook;New York;24592
1011;Murraiin, Jonathan;09/08/1950;Long Island;New York;19085
1012;Creek, Jewel;03/02/1969;Manhattan;New York;12114
1013;Medina, Peggy;06/02/1960;Poughkeepsie;New York;21093
1014;Rutledge, Bryan;06/06/1962;Manhattan;New York;12117
1015;Cavestany, Walter;11/07/1961;Ithaca;New York;27921
1016;Planck, Peggy;08/01/1967;Millbrook;New York;24596
1017;Marshall, Brenda;02/09/1955;Yorktown;New York;29847
1018;Wolter, Daniel;11*/11/1969;Poughkeepsie;New York;21101
1019;Collins, Dianne;12/18/1967;Andover;Massachusetts;8741
1020;Baker, Beverly;04/12/1954;Cape Cod;Massachusetts;10977
1021;Castillo, Pedro;11/12/1957;Cape Cod;Massachusetts;10982
1022;Borges, Laurie;07/12/1950;Acton;Massachusetts;10908
1023;Wyro, Shauna;05/29/1941;Andover;Massachusetts;8736
1024;Wyllie, Jacqueline;11/15/1969;Andover;Massachusetts;8735
1025;Conley, Lin;01/14/1960;Cape Cod;Massachusetts;10978
1026;Bernard, Jose;04/10/1966;Andover;Massachusetts;8738
1027;Macaluso, Charles;05/31/1951;Manchester;New Hampshire;7570
1028;Wood, Lois;01/26/1964;Manchester;New Hampshire;7567
1029;Armstrong, Kevin;11/30/1976;Manchester;New Hampshire;7572
1030;Goldey, Cody;12/08/1964;Manchester;New Hampshire;7573
1031;Nickell, Paula;12/30/1958;Portsmouth;New Hampshire;6550
1032;Long, Eric;07/02/1968;Portsmouth;New Hampshire;6557
1033;Solimena, Mary;03/22/1957;Portsmouth;New Hampshire;6553
1034;Muenich, Nathan;01/26/1953;Portsmouth;New Hampshire;6557
1035;Young, Ed;10/31/1967;Portsmouth;New Hampshire;6556
1036;Arnold, Donna;10/15/1940;Manchester;New Hampshire;7570
1037;Cooper, Jennifer;03/10/1966;Manchester;New Hampshire;7564
1038;Petty, Peggy;01/24/1959;Portsmouth;New Hampshire;6553
1039;Olguin, Jessica;08/11/1946;Manchester;New Hampshire;7569
1040;Burchett, Phyllis;07/25/1961;Manchester;New Hampshire;7572
1041;Bechard, Howard;01/03/1951;Manchester;New Hampshire;7572
1042;Carter, Doris;08/07/1968;Manchester;New Hampshire;7564
1043;Sharp, Juanita;12/02/1947;New London;Connecticut;13789
1044;Brunner, Sandra;01/12/1958;Danbury;Connecticut;14013
1045;Staton, Ernest;02/16/1970;New London;Connecticut;13786
1046;Sims, Rose;11/16/1963;New Canaan;Connecticut;13251
1047;De Carlo, Lauretta;02/12/1957;New Canaan;Connecticut;13250
1048;Williams, Mary;03/31/1973;New Canaan;Connecticut;13246
1049;Burke, Terri;12/02/1965;New London;Connecticut;13786
1050;Osborn, Audrey;09/08/1963;New London;Connecticut;13795
1051;Binai, Brian;09/01/1949;Danbury;Connecticut;14015
1052;Lozada, Concepcion;09/29/1956;Danbury;Connecticut;14017
1053;Tays, Paul;09/04/1951;New London;Connecticut;13788
1054;Thorton, Cheryl;10/08/1963;New Canaan;Connecticut;13249
1055;Dumin, Gary;06/25/1939;Tampa Bay;Florida;37702
1056;Chin, Pat;09/22/1971;Orlando;Florida;33548
1057;Lovell, Zach;11/26/1954;Miami;Florida;33362
1058;Ratcliff, Dave;04/23/1952;Miami;Florida;33357
